Property_ID,City,Locality,Property_Type,Bedrooms,Bathrooms,Area_sqft,Price,Property_Age,Furnishing,Parking,Sale_Status,Sale_Date,Price_per_sqft,Property_Age_Group
P100000,Kolkata,South,Builder Floor,1,2,3697,41840536.0,6,Unfurnished,Yes,Sold,2023-10-03,11317.429266973222,6-10 Years
P100001,Pune,West,Studio,1,4,1942,30088935.0,19,Semi-Furnished,No,Sold,2021-06-12,15493.787332646756,11-20 Years
P100002,Hyderabad,South,Builder Floor,4,4,419,13277561.0,18,Semi-Furnished,Yes,Sold,2023-01-05,31688.689737470166,11-20 Years
P100003,Kolkata,East,Villa,1,3,3630,40180904.0,10,Unfurnished,No,Available,,11069.11955922865,6-10 Years
P100004,Delhi,East,Apartment,4,3,3941,37906903.0,0,Semi-Furnished,Yes,Sold,2022-10-11,9618.600101497083,0-5 Years
P100005,Hyderabad,West,Studio,2,1,3299,14482360.0,17,Semi-Furnished,Yes,Sold,2023-09-18,4389.924219460442,11-20 Years
P100006,Hyderabad,North,Villa,3,1,3038,25624935.0,22,Semi-Furnished,Yes,Available,,8434.804147465438,20+ Years
P100007,Kolkata,Central,Builder Floor,2,3,1320,3219539.0,21,Unfurnished,No,Sold,2024-10-18,2439.044696969697,20+ Years
P100008,Bangalore,North,Studio,2,3,2813,17551076.0,14,Unfurnished,No,Available,,6239.273373622467,11-20 Years
P100009,Delhi,North,Apartment,2,4,400,37539153.0,12,Unfurnished,Yes,Sold,2024-10-21,93847.8825,11-20 Years
P100010,Kolkata,North,Villa,2,1,3360,3616707.0,23,Semi-Furnished,No,Available,,1076.400892857143,20+ Years
P100011,Delhi,North,Studio,5,3,1247,38155198.0,15,Furnished,No,Sold,2023-12-16,30597.592622293505,11-20 Years
P100012,Delhi,Central,Studio,1,3,1652,32875135.0,18,Furnished,No,Sold,2021-06-13,19900.202784503632,11-20 Years
P100013,Hyderabad,South,Villa,3,2,1124,27542771.0,5,Furnished,No,Sold,2022-10-29,24504.244661921708,0-5 Years
P100014,Pune,North,Builder Floor,3,3,1706,11716074.0,21,Semi-Furnished,No,Available,,6867.569753810082,20+ Years
